Domain_id,Suburb,Postcode,Lat,Lng,lga_ID
35597.0,Sandhurst,3977.0,-38.1347885,145.2811778,26.0
36517.0,Skye,3977.0,-38.1347885,145.2811778,26.0
9517.0,Clyde,3978.0,-38.140252,145.3807298,26.0
8137.0,Cardinia,3978.0,-38.140252,145.3807298,26.0
9527.0,Clyde North,3978.0,-38.140252,145.3807298,26.0
14407.0,Ferntree Gully,3156.0,-37.9368007,145.3032906,26.0
24607.0,Lysterfield,3156.0,-37.9368007,145.3032906,26.0
24617.0,Lysterfield South,3156.0,-37.9368007,145.3032906,26.0
41327.0,Upper Ferntree Gully,3156.0,-37.9368007,145.3032906,26.0
30017.0,Narre Warren,3805.0,-38.0302499,145.3032906,26.0
30077.0,Narre Warren South,3805.0,-38.0302499,145.3032906,26.0
30047.0,Narre Warren North,3804.0,-37.9788019,145.3309395,26.0
30037.0,Narre Warren East,3804.0,-37.9788019,145.3309395,26.0
4777.0,Blind Bight,3980.0,-38.2092442,145.3917982,26.0
40437.0,Tooradin,3980.0,-38.2092442,145.3917982,26.0
42477.0,Warneet,3980.0,-38.2092442,145.3917982,26.0
12367.0,Doveton,3177.0,-37.9957951,145.2424941,26.0
14007.0,Eumemmerring,3177.0,-37.9957951,145.2424941,26.0
13797.0,Endeavour Hills,3802.0,-37.9780214,145.2590707,26.0
17567.0,Hallam,3803.0,-38.0069505,145.2756505,26.0
17807.0,Hampton Park,3976.0,-38.0349647,145.2756505,26.0
23137.0,Langwarrin,3910.0,-38.1608986,145.1927835,26.0
24557.0,Lynbrook,3975.0,-38.0704681,145.2424941,26.0
24577.0,Lyndhurst,3975.0,-38.0704681,145.2424941,26.0
4637.0,Blackburn,3130.0,-37.8258214,145.1541397,20.0
4667.0,Blackburn South,3130.0,-37.8258214,145.1541397,20.0
4657.0,Blackburn North,3130.0,-37.8258214,145.1541397,20.0
5477.0,Box Hill,3128.0,-37.8333543,145.1210303,20.0
5567.0,Box Hill South,3128.0,-37.8333543,145.1210303,20.0
5547.0,Box Hill North,3129.0,-37.8052948,145.1210303,20.0
27337.0,Mont Albert North,3129.0,-37.8052948,145.1210303,20.0
7327.0,Burwood East,3151.0,-37.8552869,145.1513801,20.0
14827.0,Forest Hill,3131.0,-37.8239091,145.1762197,20.0
31307.0,Nunawading,3131.0,-37.8239091,145.1762197,20.0
26977.0,Mitcham,3132.0,-37.8219905,145.1983055,20.0
41507.0,Vermont,3133.0,-37.8500602,145.1983055,20.0
41517.0,Vermont South,3133.0,-37.8500602,145.1983055,20.0
5007.0,Bonbeach,3196.0,-38.048116,145.1210303,28.0
8927.0,Chelsea,3196.0,-38.048116,145.1210303,28.0
13457.0,Edithvale,3196.0,-38.048116,145.1210303,28.0
8937.0,Chelsea Heights,3196.0,-38.048116,145.1210303,28.0
8497.0,Carrum,3197.0,-38.0742262,145.1431018,28.0
32277.0,Patterson Lakes,3197.0,-38.0742262,145.1431018,28.0
8967.0,Cheltenham,3192.0,-37.964155,145.0658766,28.0
9367.0,Clayton South,3169.0,-37.9454838,145.1210303,28.0
9257.0,Clarinda,3169.0,-37.9454838,145.1210303,28.0
