Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
104287.0,,,,,,3.0,4200000.0,3200000.0,1.0,,,,,,
104417.0,750000.0,31.0,20000000.0,575000.0,666000.0,272.0,13500000.0,250000.0,,,35.0,500.0,80.0,750.0,420.0
1907.0,,,,,,1.0,1600000.0,1600000.0,,,,,1.0,430.0,430.0
23187.0,705000.0,77.0,1480000.0,325000.0,592000.0,261.0,3400000.0,220000.0,16.0,10.0,25.0,460.0,81.0,850.0,230.0
2047.0,625000.0,50.0,1200000.0,318000.0,648000.0,129.0,1341000.0,309000.0,,,31.0,400.0,44.0,575.0,8.0
2427.0,,2.0,1020000.0,900000.0,,2.0,900000.0,850000.0,,,,,,,
9847.0,,,,,,2.0,1400000.0,1390000.0,,,,,,,
24247.0,,2.0,1240000.0,1160000.0,,2.0,1149000.0,1080000.0,,,,,,,
24767.0,598000.0,32.0,920000.0,299000.0,579000.0,73.0,1895000.0,299000.0,,,56.0,420.0,29.0,530.0,335.0
26387.0,,,,,,3.0,1675000.0,988000.0,,,,,,,
32117.0,,,,,,1.0,5000000.0,5000000.0,,,,,,,
35047.0,,,,,,1.0,1275000.0,1275000.0,,,,,,,
16507.0,,1.0,2105000.0,2105000.0,,1.0,2000000.0,2000000.0,,,,,,,
3127.0,1523000.0,16.0,3265000.0,965000.0,1690000.0,32.0,3850000.0,1100000.0,7.0,3.0,34.0,800.0,14.0,1350.0,485.0
5737.0,,,,,,1.0,1700000.0,1700000.0,,,,,1.0,450.0,450.0
10077.0,,4.0,1875000.0,930000.0,,4.0,1790000.0,800000.0,,,,,,,
9447.0,740000.0,53.0,2650000.0,575000.0,700000.0,90.0,1850000.0,529000.0,6.0,1.0,32.0,430.0,27.0,570.0,360.0
11027.0,695000.0,18.0,1260000.0,525000.0,679000.0,41.0,2000000.0,580000.0,,,22.0,445.0,26.0,620.0,390.0
12657.0,900000.0,24.0,2120000.0,475000.0,812000.0,45.0,3500000.0,145000.0,,,30.0,420.0,11.0,730.0,360.0
25187.0,,1.0,2675000.0,2675000.0,,1.0,2550000.0,2550000.0,1.0,1.0,,,,,
104537.0,,5.0,3400000.0,1050000.0,,10.0,3500000.0,950000.0,1.0,1.0,,,,,
10317.0,520000.0,81.0,800000.0,323000.0,508000.0,133.0,900000.0,208000.0,2.0,2.0,25.0,350.0,80.0,500.0,235.0
30937.0,470000.0,65.0,630000.0,320000.0,460000.0,106.0,800000.0,275000.0,15.0,10.0,32.0,320.0,86.0,510.0,245.0
31047.0,,5.0,1875000.0,601000.0,,5.0,1900000.0,500000.0,1.0,1.0,,,3.0,415.0,390.0
23537.0,720000.0,58.0,1725000.0,487000.0,668000.0,101.0,3000000.0,275000.0,7.0,4.0,22.0,440.0,45.0,590.0,150.0
144577.0,,2.0,1120000.0,842000.0,,6.0,2750000.0,661000.0,3.0,2.0,,,2.0,650.0,335.0
31627.0,1185000.0,108.0,3800000.0,570000.0,1150000.0,202.0,5700000.0,509000.0,6.0,1.0,38.0,550.0,62.0,2500.0,360.0
4117.0,1715000.0,51.0,2910000.0,720000.0,1550000.0,83.0,3000000.0,460000.0,51.0,34.0,39.0,710.0,105.0,1490.0,350.0
31767.0,1850000.0,25.0,2880000.0,895000.0,1575000.0,42.0,2200000.0,790000.0,23.0,16.0,40.0,665.0,41.0,1200.0,420.0
25657.0,1710000.0,15.0,2950000.0,900000.0,1350000.0,33.0,2955000.0,670000.0,13.0,9.0,,740.0,43.0,1150.0,400.0
4127.0,1523000.0,112.0,2618000.0,840000.0,1450000.0,152.0,2600000.0,300000.0,104.0,72.0,29.0,625.0,181.0,1300.0,330.0
8297.0,1685000.0,43.0,2775000.0,708000.0,1350000.0,78.0,2850000.0,480000.0,35.0,22.0,40.0,620.0,68.0,1200.0,250.0
15877.0,,5.0,1533000.0,915000.0,,8.0,1550000.0,298000.0,5.0,4.0,,475.0,15.0,800.0,265.0
29437.0,1695000.0,25.0,2250000.0,735000.0,1500000.0,45.0,4100000.0,320000.0,21.0,14.0,37.0,555.0,58.0,1180.0,250.0
8747.0,2613000.0,47.0,8800000.0,850000.0,1900000.0,69.0,21000000.0,370000.0,42.0,33.0,78.0,720.0,69.0,1400.0,250.0
31597.0,1177000.0,33.0,1765000.0,533000.0,1100000.0,56.0,2225000.0,635000.0,24.0,22.0,24.0,528.0,46.0,750.0,350.0
8687.0,1808000.0,17.0,3250000.0,790000.0,1700000.0,27.0,3000000.0,50000.0,20.0,14.0,,805.0,16.0,,520.0
8787.0,1765000.0,49.0,3310000.0,1005000.0,1600000.0,63.0,3491000.0,800000.0,50.0,42.0,24.0,690.0,59.0,1500.0,330.0
4297.0,905000.0,240.0,6315000.0,480000.0,830000.0,645.0,7500000.0,92000.0,45.0,20.0,29.0,450.0,272.0,1400.0,250.0
