Domain_id,streetNumber,streetName,streetType,geoLocation,propertyType,bedrooms,bathrooms,carspaces,propertyDetailsUrl,price,unitNumber,second_ID,canonicalUrl,areaSize,photos
14407.0,2A,Velden,Av,"{'latitude': -37.8821244, 'longitude': 145.2812691}",Townhouse,3.0,2.0,2.0,https://www.domain.com.au/2a-velden-avenue-ferntree-gully-vic-3156-2017650376,835000.0,,HY-1780-UO,https://www.domain.com.au/property-profile/2a-velden-avenue-ferntree-gully-vic-3156,291.0,https://bucket-api.domain.com.au/v1/bucket/image/2017650376_1_1_220309_041255-w1600-h1067
24607.0,6,Beckbury,Ct,"{'latitude': -37.9175031, 'longitude': 145.2735131}",House,4.0,2.0,2.0,https://www.domain.com.au/6-beckbury-court-lysterfield-vic-3156-2017628853,1075000.0,,AP-5622-UE,https://www.domain.com.au/property-profile/6-beckbury-court-lysterfield-vic-3156,813.0,https://bucket-api.domain.com.au/v1/bucket/image/2017628853_1_1_220301_125249-w1600-h1067
30017.0,29,Fernwood,Rd,"{'latitude': -38.012382, 'longitude': 145.3003318}",House,4.0,1.0,2.0,https://www.domain.com.au/29-fernwood-road-narre-warren-vic-3805-2017652462,740000.0,,QW-3059-PI,https://www.domain.com.au/property-profile/29-fernwood-road-narre-warren-vic-3805,670.0,https://bucket-api.domain.com.au/v1/bucket/image/2017652462_1_1_220311_012435-w2000-h1500
30077.0,56,Loxley,Bvd,"{'latitude': -38.047041, 'longitude': 145.316873}",House,5.0,2.0,2.0,https://www.domain.com.au/56-loxley-boulevard-narre-warren-south-vic-3805-2017630336,1055000.0,,FB-0546-DV,https://www.domain.com.au/property-profile/56-loxley-boulevard-narre-warren-south-vic-3805,580.0,https://bucket-api.domain.com.au/v1/bucket/image/2017630336_1_1_220301_052911-w1920-h1280
30047.0,12,Fox,Rd,"{'latitude': -37.9885001, 'longitude': 145.3025067}",House,4.0,2.0,6.0,https://www.domain.com.au/12-fox-road-narre-warren-north-vic-3804-2017630579,1818000.0,,TJ-6282-AO,https://www.domain.com.au/property-profile/12-fox-road-beaconsfield-upper-vic-3808,68991.0,0
4637.0,12,Duckham,St,"{'latitude': -37.8291262, 'longitude': 145.1382248}",Unit,2.0,1.0,1.0,https://www.domain.com.au/2-12-duckham-street-blackburn-vic-3130-2017638661,865000.0,2,AM-9596-OA,https://www.domain.com.au/property-profile/12-duckham-street-blackburn-vic-3130,311.0,0
4637.0,26,Esdale,St,"{'latitude': -37.8130544, 'longitude': 145.1649036}",House,3.0,2.0,4.0,https://www.domain.com.au/26-esdale-street-blackburn-vic-3130-2012152161,1580000.0,,IC-0403-FA,https://www.domain.com.au/property-profile/26-esdale-street-blackburn-vic-3130,732.0,https://bucket-api.domain.com.au/v1/bucket/image/2012152161_1_1_220306_110126-w2000-h1330
4637.0,10,Francis,St,"{'latitude': -37.8139538, 'longitude': 145.1549805}",House,3.0,2.0,2.0,https://www.domain.com.au/10-francis-street-blackburn-vic-3130-2017643172,1400000.0,,TR-5912-UD,https://www.domain.com.au/property-profile/10-francis-street-blackburn-vic-3130,640.0,https://bucket-api.domain.com.au/v1/bucket/image/2017643172_1_1_220307_020419-w1600-h1067
4637.0,12,Francis,St,"{'latitude': -37.8141365, 'longitude': 145.1549805}",House,3.0,2.0,2.0,https://www.domain.com.au/12-francis-street-blackburn-vic-3130-2017644600,1751000.0,,DL-0378-AK,https://www.domain.com.au/property-profile/12-francis-street-blackburn-vic-3130,640.0,https://bucket-api.domain.com.au/v1/bucket/image/2017644600_1_1_220307_063113-w1600-h1067
4637.0,4,Musk,St,"{'latitude': -37.8171128, 'longitude': 145.1596151}",House,4.0,2.0,2.0,https://www.domain.com.au/4-musk-street-blackburn-vic-3130-2017648702,1700000.0,,YR-2867-PZ,https://www.domain.com.au/property-profile/4-musk-street-blackburn-vic-3130,697.0,https://bucket-api.domain.com.au/v1/bucket/image/2017648702_1_1_220308_114015-w1600-h1067
4637.0,40,Pakenham,St,"{'latitude': -37.827404, 'longitude': 145.140285}",House,5.0,3.0,2.0,https://www.domain.com.au/40-pakenham-street-blackburn-vic-3130-2017642510,1825000.0,,NO-7837-SD,https://www.domain.com.au/property-profile/40-pakenham-street-blackburn-vic-3130,650.0,https://bucket-api.domain.com.au/v1/bucket/image/2017642510_1_1_220306_113742-w1600-h1067
4667.0,15,Bindy,St,"{'latitude': -37.8399962, 'longitude': 145.157654}",House,3.0,1.0,1.0,https://www.domain.com.au/15-bindy-street-blackburn-south-vic-3130-2017642303,1276000.0,,FD-3362-KW,https://www.domain.com.au/property-profile/15-bindy-street-blackburn-south-vic-3130,611.0,https://bucket-api.domain.com.au/v1/bucket/image/2017642303_1_1_220306_104145-w2000-h1330
4667.0,162,Blackburn,Rd,"{'latitude': -37.836049, 'longitude': 145.155908}",Townhouse,4.0,2.0,2.0,https://www.domain.com.au/1-162-blackburn-road-blackburn-south-vic-3130-2017644260,953000.0,1,PO-9836-HL,https://www.domain.com.au/property-profile/162-blackburn-road-blackburn-south-vic-3130,1123.0,0
4667.0,171,Blackburn,Rd,"{'latitude': -37.836067, 'longitude': 145.1564395}",House,3.0,2.0,2.0,https://www.domain.com.au/171-blackburn-road-blackburn-south-vic-3130-2017653085,1101000.0,,XR-5133-ER,https://www.domain.com.au/property-profile/171-blackburn-road-blackburn-south-vic-3130,273.0,https://bucket-api.domain.com.au/v1/bucket/image/2017653085_1_1_220310_012235-w1600-h1066
4667.0,121,Holland,Rd,"{'latitude': -37.84366, 'longitude': 145.150716}",Unit,2.0,1.0,1.0,https://www.domain.com.au/2-121-holland-road-blackburn-south-vic-3130-2017641934,730000.0,2,TL-4098-OE,https://www.domain.com.au/property-profile/121-holland-road-blackburn-south-vic-3130,107.0,0
5477.0,12,Barcelona,St,"{'latitude': -37.8243724, 'longitude': 145.1319503}",House,4.0,2.0,2.0,https://www.domain.com.au/12-barcelona-street-box-hill-vic-3128-2017651794,1780000.0,,LV-0321-BQ,https://www.domain.com.au/property-profile/12-barcelona-street-box-hill-vic-3128,766.0,https://bucket-api.domain.com.au/v1/bucket/image/2017651794_20_1_220309_081320-w1600-h1067
5477.0,3,Hannaslea,St,"{'latitude': -37.8267687, 'longitude': 145.1230562}",House,4.0,2.0,2.0,https://www.domain.com.au/3-hannaslea-street-box-hill-vic-3128-2017650493,2200000.0,,CD-5927-YL,https://www.domain.com.au/property-profile/3-hannaslea-street-box-hill-vic-3128,836.0,https://bucket-api.domain.com.au/v1/bucket/image/2017650493_1_1_220309_042727-w1600-h1067
5567.0,2,Asquith,St,"{'latitude': -37.8361864, 'longitude': 145.1211403}",Townhouse,3.0,2.0,2.0,https://www.domain.com.au/2-2-asquith-street-box-hill-south-vic-3128-2017651389,1069999.0,2,KL-6437-RH,https://www.domain.com.au/property-profile/2-asquith-street-box-hill-south-vic-3128,678.0,https://bucket-api.domain.com.au/v1/bucket/image/w800-h600-2006726658_1_ofi_150220_015038
5567.0,13,Eden,Av,"{'latitude': -37.8421675, 'longitude': 145.1326904}",House,4.0,2.0,2.0,https://www.domain.com.au/13-eden-avenue-box-hill-south-vic-3128-2017654260,1598000.0,,RK-7826-QR,https://www.domain.com.au/property-profile/13-eden-avenue-box-hill-south-vic-3128,604.0,https://bucket-api.domain.com.au/v1/bucket/image/2017654260_1_1_220310_042053-w2500-h1667
